table_name,column_name,data_type,is_nullable
alerts,id,uuid,NO
alerts,user_id,uuid,YES
alerts,plant_id,uuid,YES
alerts,alert_type,text,NO
alerts,severity,text,NO
alerts,title,text,NO
alerts,actions,jsonb,YES
alerts,explanation_text,text,YES
alerts,deadline,timestamp without time zone,YES
alerts,is_acknowledged,boolean,YES
alerts,created_at,timestamp without time zone,YES
events_log,id,uuid,NO
events_log,user_id,uuid,YES
events_log,plant_id,uuid,YES
events_log,event_type,text,NO
events_log,event_date,date,NO
events_log,quantity,numeric,YES
events_log,unit,text,YES
events_log,notes,text,YES
events_log,photo_url,text,YES
events_log,created_at,timestamp without time zone,YES
map_backgrounds,id,uuid,NO
map_backgrounds,user_id,uuid,YES
map_backgrounds,image_url,text,NO
map_backgrounds,uploaded_at,timestamp without time zone,YES
map_backgrounds,notes,text,YES
my_plants,id,uuid,NO
my_plants,user_id,uuid,YES
my_plants,zone_id,uuid,YES
my_plants,library_id,uuid,YES
my_plants,custom_name,text,YES
my_plants,planted_date,date,YES
my_plants,expected_harvest_date,date,YES
my_plants,area_m2,numeric,YES
my_plants,status,text,YES
my_plants,notes,text,YES
my_plants,created_at,timestamp without time zone,YES
my_plants,map_x,numeric,YES
my_plants,map_y,numeric,YES
my_plants,map_scale,numeric,YES
my_zones,id,uuid,NO
my_zones,user_id,uuid,YES
my_zones,name,text,NO
my_zones,zone_type,text,YES
my_zones,notes,text,YES
my_zones,created_at,timestamp without time zone,YES
my_zones,area_m2,numeric,YES
my_zones,sunlight,text,YES
my_zones,irrigation_type,text,YES
my_zones,description,text,YES
plant_library,id,uuid,NO
plant_library,name_uk,text,NO
plant_library,name_latin,text,YES
plant_library,category,text,NO
plant_library,family,text,YES
plant_library,icon_slug,text,YES
plant_library,frost_tolerance_c,numeric,YES
plant_library,optimal_temp_min,numeric,YES
plant_library,optimal_temp_max,numeric,YES
plant_library,heat_stress_temp,numeric,YES
plant_library,vegetation_days,integer,NO
plant_library,full_maturity_days,integer,YES
plant_library,watering_interval_days,integer,NO
plant_library,watering_liters_per_m2,numeric,YES
plant_library,soil_moisture_preference,text,YES
plant_library,feeding_interval_days,integer,YES
plant_library,feeding_type,text,YES
plant_library,feeder_type,text,YES
plant_library,good_companions,ARRAY,YES
plant_library,bad_companions,ARRAY,YES
plant_library,common_diseases,jsonb,YES
plant_library,nutrient_deficiencies,jsonb,YES
plant_library,care_tips,ARRAY,YES
plant_library,harvest_signs,text,YES
plant_library,regional_notes,jsonb,YES
plant_library,created_at,timestamp without time zone,YES
plant_library,lifecycle,text,YES
plant_library,regional_ukraine,jsonb,YES
plant_library,beginner_tips,jsonb,YES
profiles,id,uuid,NO
profiles,email,text,YES
profiles,full_name,text,YES
profiles,region,text,YES
profiles,garden_type,text,YES
profiles,created_at,timestamp without time zone,YES
profiles,plot_size_m2,numeric,YES
profiles,soil_type,text,YES
profiles,orientation,text,YES
profiles,water_source,text,YES
profiles,has_electricity,boolean,YES
profiles,family_size,integer,YES
tasks,id,uuid,NO
tasks,user_id,uuid,YES
tasks,plant_id,uuid,YES
tasks,task_type,text,NO
tasks,title,text,NO
tasks,action_description,text,YES
tasks,explanation_text,text,YES
tasks,due_date,date,NO
tasks,recommended_time,text,YES
